"Kod";"Nazwa";"rok;2023;[%]";
3203023;"Drawsko Pomorskie (3)";68,77;
3203024;"Drawsko Pomorskie - miasto (4)";100,00;
3203033;"Kalisz Pomorski (3)";59,06;
3203034;"Kalisz Pomorski - miasto (4)";100,00;
3203063;"Złocieniec (3)";79,16;
3203064;"Złocieniec - miasto (4)";100,00;
3204000;"Powiat goleniowski";52,82;
3204023;"Goleniów (3)";58,03;
3204024;"Goleniów - miasto (4)";100,00;
3204033;"Maszewo (3)";38,71;
3204034;"Maszewo - miasto (4)";100,00;
3204043;"Nowogard (3)";66,99;
3204044;"Nowogard - miasto (4)";100,00;
3204073;"Stepnica (3)";53,59;
3204074;"Stepnica - miasto (4)";100,00;
3205000;"Powiat gryficki";50,26;
3205023;"Gryfice (3)";67,51;
3205024;"Gryfice - miasto (4)";100,00;
3205043;"Płoty (3)";45,92;
3205044;"Płoty - miasto (4)";100,00;
3205083;"Trzebiatów (3)";62,62;
3205084;"Trzebiatów - miasto (4)";100,00;
3206000;"Powiat gryfiński";46,19;
3206023;"Cedynia (3)";37,10;
3206024;"Cedynia - miasto (4)";100,00;
3206033;"Chojna (3)";55,87;
3206034;"Chojna - miasto (4)";100,00;
3206043;"Gryfino (3)";65,41;
3206044;"Gryfino - miasto (4)";100,00;
3206053;"Mieszkowice (3)";51,42;
3206054;"Mieszkowice - miasto (4)";100,00;
3206063;"Moryń (3)";39,45;
3206064;"Moryń - miasto (4)";100,00;
3206083;"Trzcińsko-Zdrój (3)";44,02;
3206084;"Trzcińsko-Zdrój - miasto (4)";100,00;
3207000;"Powiat kamieński";51,27;
3207013;"Dziwnów (3)";64,64;
3207014;"Dziwnów - miasto (4)";100,00;
3207023;"Golczewo (3)";45,49;
3207024;"Golczewo - miasto (4)";100,00;
3207033;"Kamień Pomorski (3)";61,73;
3207034;"Kamień Pomorski - miasto (4)";100,00;
3207043;"Międzyzdroje (3)";81,17;
3207044;"Międzyzdroje - miasto (4)";100,00;
3207063;"Wolin (3)";39,83;
3207064;"Wolin - miasto (4)";100,00;
3208000;"Powiat kołobrzeski";60,17;
3208011;"Kołobrzeg (1)";100,00;
3208033;"Gościno (3)";51,35;
3208034;"Gościno - miasto (4)";100,00;
3209000;"Powiat koszaliński";24,59;
3209033;"Bobolice (3)";45,13;
3209034;"Bobolice - miasto (4)";100,00;
3209053;"Mielno (3)";59,11;
3209054;"Mielno - miasto (4)";100,00;
3209063;"Polanów (3)";35,28;
3209064;"Polanów - miasto (4)";100,00;
3209073;"Sianów (3)";46,98;
3209074;"Sianów - miasto (4)";100,00;
3210000;"Powiat myśliborski";58,13;
3210013;"Barlinek (3)";70,68;
3210014;"Barlinek - miasto (4)";100,00;
3210033;"Dębno (3)";66,63;
3210034;"Dębno - miasto (4)";100,00;
3210043;"Myślibórz (3)";55,85;
3210044;"Myślibórz - miasto (4)";100,00;
3211000;"Powiat policki";35,70;
3211033;"Nowe Warpno (3)";69,10;
3211034;"Nowe Warpno - miasto (4)";100,00;
3211043;"Police (3)";75,92;
3211044;"Police - miasto (4)";100,00;
3212000;"Powiat pyrzycki";42,90;
3212033;"Lipiany (3)";69,50;
3212034;"Lipiany - miasto (4)";100,00;
3212053;"Pyrzyce (3)";65,09;
3212054;"Pyrzyce - miasto (4)";100,00;
3213000;"Powiat sławieński";45,91;
3213011;"Darłowo (1)";100,00;
3213021;"Sławno (1)";100,00;
3214000;"Powiat stargardzki";62,91;
3214011;"Stargard (1)";100,00;
3214023;"Chociwel (3)";54,68;
3214024;"Chociwel - miasto (4)";100,00;
3214033;"Dobrzany (3)";47,88;
3214034;"Dobrzany - miasto (4)";100,00;
3214053;"Ińsko (3)";57,29;
3214054;"Ińsko - miasto (4)";100,00;
3214113;"Suchań (3)";34,28;
3214114;"Suchań - miasto (4)";100,00;
3215000;"Powiat szczecinecki";66,03;
3215011;"Szczecinek (1)";100,00;
3215023;"Barwice (3)";44,37;
3215024;"Barwice - miasto (4)";100,00;
3215033;"Biały Bór (3)";43,09;
3215034;"Biały Bór - miasto (4)";100,00;
3215043;"Borne Sulinowo (3)";52,57;
3215044;"Borne Sulinowo - miasto (4)";100,00;
3216000;"Powiat świdwiński";50,40;
3216011;"Świdwin (1)";100,00;
3216033;"Połczyn-Zdrój (3)";52,78;
3216034;"Połczyn-Zdrój - miasto (4)";100,00;
3217000;"Powiat wałecki";61,06;
3217011;"Wałcz (1)";100,00;
3217023;"Człopa (3)";47,46;
3217024;"Człopa - miasto (4)";100,00;
3217033;"Mirosławiec (3)";56,64;
3217034;"Mirosławiec - miasto (4)";100,00;
3217043;"Tuczno (3)";39,90;
3217044;"Tuczno - miasto (4)";100,00;
3218000;"Powiat łobeski";54,07;
3218013;"Dobra (3)";52,41;
3218014;"Dobra - miasto (4)";100,00;
3218023;"Łobez (3)";74,30;
3218024;"Łobez - miasto (4)";100,00;
3218043;"Resko (3)";53,85;
3218044;"Resko - miasto (4)";100,00;
3218053;"Węgorzyno (3)";41,58;
3218054;"Węgorzyno - miasto (4)";100,00;
3261000;"Powiat m. Koszalin";100,00;
3261011;"Koszalin (1)";100,00;
3262000;"Powiat m. Szczecin";100,00;
3262011;"Szczecin (1)";100,00;
3263000;"Powiat m. Świnoujście";100,00;
3263011;"Świnoujście (1)";100,00;
